ID;Company;Company Size;Location;Technology;Seniority;Salary Employment Min;Salary Employment Max;Salary B2B Min;Salary B2B Max
9bc1067ab17890b0402120d9d4deab4e;Motorola Solutions Systems Polska Sp. z o.o.;1000.0;Kraków;C/C++;mid;11500.0;18000.0;-1;-1
30d547b514e74b95062cd1ac04cd071d;Sigma IT Poland;100.0;Remote;Python;senior;18000.0;22000.0;21840.0;26880.0
7b69c0f18365553cfe8d180f4c7dd0e4;Sigma IT Poland;100.0;Remote;Mobile;mid;17200.0;23400.0;21000.0;28560.0
e55f8ce73ebad17cb8b57840c1311e2f;GetInData | Part of Xebia;100.0;Remote;Python;mid;-1;-1;18480.0;26880.0
2970fa54943eea6f84fd649009640244;GetInData | Part of Xebia;100.0;Remote;Scala;senior;-1;-1;27720.0;33600.0
e1db4aeb6b8c7fdc6086b703c6aac928;GetInData | Part of Xebia;100.0;Remote;Python;senior;-1;-1;26880.0;33600.0
d60676d9915cd658accd2bfff34d3201;GetInData | Part of Xebia;100.0;Remote;Python;expert;-1;-1;33600.0;40320.0
0dd9bac7fa11fce720c9c9b6eacff233;HARMAN Connected Services;100.0;Remote;Mobile;senior;11000.0;17500.0;-1;-1
e8d77ab4bb76b955e53894dc9275151e;HARMAN Connected Services;100.0;Remote;C/C++;senior;11000.0;17500.0;-1;-1
9d20d4d4e7b32192bc448ddb4b737823;HARMAN Connected Services;100.0;Remote;C#;senior;11000.0;17500.0;-1;-1
9c13e455151f345af84acbb2568a0825;HARMAN Connected Services;100.0;Remote;Mobile;expert;15000.0;25000.0;-1;-1
1bd475dfb3dfa3e48fad6a70a364da7e;ONWELO Sp. z o.o.;1000.0;Remote;Python;senior;14000.0;19000.0;21000.0;27300.0
842b031565566e23b4ff0f01378f258a;ONWELO Sp. z o.o.;1000.0;Remote;Python;mid;10000.0;14000.0;15750.0;21000.0
9e1561621ca113781f5b268cf6b85f4c;ONWELO Sp. z o.o.;1000.0;Remote;Python;mid;10000.0;14000.0;14700.0;21000.0
16d94854fc9cd2a88aa5d0be7e48373c;ONWELO Sp. z o.o.;1000.0;Remote;Python;senior;-1;-1;21000.0;25200.0
14002391c7f79cbc14840dacb192c99c;SoftServe Poland;100.0;Remote;C/C++;mid;-1;-1;16000.0;20000.0
80433e1e0458d66f4e185da7f51d8439;SoftServe Poland;100.0;Wrocław;Java;mid;-1;-1;14000.0;18000.0
fa8ae1e55fc6861268e460fb112b44af;SoftServe Poland;100.0;Warszawa;Java;mid;-1;-1;14000.0;18000.0
937982aa8ed9b0dd76e36482e7375414;SoftServe Poland;100.0;Gdańsk;Java;mid;-1;-1;14000.0;18000.0
6ac361d0985ed6f9d3d60507c16c3fa1;SoftServe Poland;100.0;Poznań;Java;mid;-1;-1;14000.0;18000.0
8ccbe9f1a922893b74a36e2588ca2718;SoftServe Poland;100.0;Katowice;Java;mid;-1;-1;14000.0;18000.0
112525a82fc3ca2dba1399cd6d4a18de;SoftServe Poland;100.0;Kraków;Java;mid;-1;-1;14000.0;18000.0
eafe4dfcc9e0b66ec43a46eb14055ce3;SoftServe Poland;100.0;Remote;Python;junior;7600.0;14100.0;6800.0;12700.0
f9e559f035a75d3f130a5fe76d910641;SoftServe Poland;100.0;Gdańsk;Java;senior;-1;-1;17000.0;25000.0
16fcee0f6a4a821ce39ce8ec9d950a4d;SoftServe Poland;100.0;Wrocław;Java;senior;-1;-1;17000.0;25000.0
d2c51ca77260038e7453d7e6e7f62039;SoftServe Poland;100.0;Kraków;Java;senior;-1;-1;17000.0;25000.0
29c240bb108fb43e12baa479178f308a;SoftServe Poland;100.0;Warszawa;Java;senior;-1;-1;17000.0;25000.0
1248a9a007684a640a362f04191a6c8a;SoftServe Poland;100.0;Łódź;Java;senior;-1;-1;17000.0;25000.0
f382e7f74d8653b698765392cea84dee;ING Bank Śląski Spółka Akcyjna;10000.0;Remote;Kotlin;mid;13000.0;22000.0;-1;-1
ae050023201595e0ce9bc64c9bb84dfd;ING Bank Śląski Spółka Akcyjna;10000.0;Warszawa;Python;senior;9000.0;18000.0;-1;-1
58d31dc6b776ab3bc3cb61cf9aa69d5a;ING Bank Śląski Spółka Akcyjna;10000.0;Remote;Java;mid;11000.0;22000.0;-1;-1
89e6b2b978a62721da6738e587fb127d;ING Bank Śląski Spółka Akcyjna;10000.0;Warszawa;C#;senior;11000.0;22000.0;-1;-1
642bed60e5747a267e5e293c4970d847;RTB House;1000.0;Remote;JavaScript;mid;-1;-1;10080.0;17640.0
7007648cfd853dfaa00deb5a236f28c1;RTB House;1000.0;Remote;Python;senior;-1;-1;30000.0;47000.0
24ff9d83ddb64b54d00f491fb0c88b8d;RTB House;1000.0;Remote;Python;senior;-1;-1;25000.0;33000.0
48c4c635ce6cec63681aac234804cb6a;SEB;100.0;Warszawa;Python;senior;34000.0;37000.0;34000.0;37000.0
d0bb809fd36302a9e51df0e4085fbe35;Capgemini Poland;1000.0;Katowice;Python;senior;14000.0;17000.0;20160.0;23520.0
759ecaaec4c2d5373b5349ec659c5fe7;Capgemini Poland;1000.0;Kraków;Python;senior;14000.0;17000.0;20160.0;23520.0
79c16421880fbd67c02705306e0903c9;Capgemini Poland;1000.0;Gdańsk;Python;senior;14000.0;17000.0;20160.0;23520.0
f99352f34c6b7baaad1bbb6059caefed;Capgemini Poland;1000.0;Wrocław;Python;senior;14000.0;17000.0;20160.0;23520.0
0d4d70f2c38113eb0003ec9b1649ea36;Capgemini Poland;1000.0;Warszawa;Python;senior;14000.0;17000.0;20160.0;23520.0
b8f48b1267f6d391fb80a494642ef264;Capgemini Poland;1000.0;Katowice;C/C++;junior;5500.0;11000.0;-1;-1
769a168d1d364319d9899713e619f36f;Capgemini Poland;1000.0;Wrocław;C/C++;junior;5500.0;11000.0;-1;-1
c06634ec70f6db9555ac73ac06a30ccc;Capgemini Poland;1000.0;Warszawa;C/C++;junior;5500.0;11000.0;-1;-1
db7850d2ed4fe4a47255751205a1db85;Capgemini Poland;1000.0;Katowice;C/C++;senior;14000.0;17000.0;20160.0;23520.0
eaf55eaf26a525fe2b4ee8e72bfd55fd;Capgemini Poland;1000.0;Kraków;C/C++;senior;14000.0;17000.0;20160.0;23520.0
6bf7c1e17464ae4418895d6bab70d631;Capgemini Poland;1000.0;Gdańsk;C/C++;senior;14000.0;17000.0;20160.0;23520.0
eb256f8a8a15cc8e51fa241fd1fd86d0;Capgemini Poland;1000.0;Wrocław;C/C++;senior;14000.0;17000.0;20160.0;23520.0
cef042ec9a461feb02c0ff30784ef480;Capgemini Poland;1000.0;Warszawa;C/C++;senior;14000.0;17000.0;20160.0;23520.0
15b25417d87f7f6ca9c18b1c40ff3d28;Capgemini Poland;1000.0;Poznań;C/C++;senior;14000.0;17000.0;20160.0;23520.0
b7c86b7d734aa9a2406c103cd6d3f0bb;Capgemini Poland;1000.0;Katowice;C/C++;junior;7200.0;13200.0;13608.0;16632.0
65db866dede9fc7ac9095745d7583ff2;Capgemini Poland;1000.0;Kraków;C/C++;junior;7200.0;13200.0;13608.0;16632.0
9adf5053c73d1beda8bed13cb505aee6;Capgemini Poland;1000.0;Wrocław;C/C++;junior;7200.0;13200.0;13608.0;16632.0
595e3d4daee1ea6e2576cfbbedda0433;Capgemini Poland;1000.0;Gdańsk;C/C++;junior;7200.0;13200.0;13608.0;16632.0
97b696935812a4c0e710de73d2083f88;Clurgo;100.0;Remote;JavaScript;senior;-1;-1;20160.0;25200.0
2af452bdd8be7282220dc7d1f3fe3fe5;Clurgo;100.0;Remote;JavaScript;senior;-1;-1;23520.0;27720.0
51ac6a80200b94d37c1262b222b8d8a7;Clurgo;100.0;Warszawa;JavaScript;mid;-1;-1;20160.0;25200.0
51731e847ea1f10e78ec156b5e1fdcf4;Clurgo;100.0;Warszawa;Java;mid;-1;-1;20160.0;25200.0
689a86fd4eb5b55612ab13544a51eaf3;HL Tech Sp. z o.o.;100.0;Warszawa;Python;mid;12000.0;16000.0;-1;-1
fb6ab8c5cadbd4e2b289aa04ee2b2442;HL Tech Sp. z o.o.;100.0;Gdańsk;Python;mid;12000.0;16000.0;-1;-1
42988b30fe39f0e35cf050c3a18bdf07;HL Tech Sp. z o.o.;100.0;Wrocław;Python;mid;12000.0;16000.0;-1;-1
